31288,1990,15,10,10,1584,1500
12856,1194,15,10,10,1290,1500
34013,734,15,10,10,1529,1500
14063,606,15,10,10,2516,1500
18671,481,15,10,10,2081,1500
12607,381,15,10,10,552,1500
35196,985,15,11,10,2097,1650
3353,878,15,11,10,1301,1650
39462,760,15,11,10,966,1650
36769,1382,17,10,10,2310,1700
5084,1651,15,12,10,1160,1800
8699,1625,15,12,10,759,1800
27376,1521,18,10,10,999,1800
33638,1366,15,12,10,2272,1800
36850,1062,15,12,10,1295,1800
24784,891,15,12,10,1285,1800
8025,867,15,10,12,1811,1800
36354,827,15,12,10,2073,1800
36108,799,15,12,10,952,1800
35647,632,18,10,10,2074,1800
30116,593,15,12,10,2317,1800
37884,549,15,12,10,830,1800
34667,209,15,12,10,1640,1800
36156,122,15,10,12,938,1800
4887,1604,17,11,10,1543,1870
36175,1494,16,12,10,817,1920
14301,2139,15,13,10,804,1950
2460,1117,15,13,10,2392,1950
36661,1067,15,10,13,1201,1950
8034,1042,15,10,13,2420,1950
33089,502,15,13,10,2318,1950
1370,1783,15,12,11,2948,1980
35280,1675,15,12,11,1556,1980
10981,1432,15,12,11,902,1980
19986,1343,15,12,11,2461,1980
32790,1295,15,12,11,1310,1980
9085,1273,15,11,12,570,1980
11649,1093,15,11,12,2472,1980
27025,973,15,11,12,2093,1980
1540,944,20,10,10,1843,2000
37259,159,20,10,10,124,2000
5525,1180,16,13,10,1753,2080
39987,2229,19,11,10,1647,2090
13627,1361,30,7,10,3540,2100
13630,1361,25,12,7,840,2100
23210,310,15,10,14,1428,2100
10952,487,16,11,12,2707,2112
26950,2215,15,11,13,547,2145
2413,1495,15,11,13,2645,2145
21921,1096,15,13,11,1575,2145
4186,919,15,11,13,3000,2145
12095,110,15,11,13,1068,2145
12979,1695,15,12,12,1707,2160
34217,643,15,12,12,50,2160
37484,1262,20,11,10,2012,2200
10496,2080,17,13,10,1417,2210
37650,594,17,13,10,2271,2210
18666,159,17,13,10,288,2210
27976,531,16,14,10,1951,2240
6532,1830,15,10,15,1677,2250
14172,1297,15,10,15,1104,2250
12212,1182,15,10,15,2129,2250
38305,1116,15,10,15,1968,2250
22631,1005,15,10,15,951,2250
3879,959,19,10,12,526,2280
28897,938,19,12,10,1499,2280
27841,709,19,12,10,50,2280
16986,888,23,10,10,1909,2300
40049,701,23,10,10,1038,2300
28405,868,16,12,12,235,2304
38456,1634,15,11,14,2193,2310
21398,1325,21,11,10,2519,2310
3288,873,15,11,14,1560,2310
27533,654,15,11,14,2196,2310
12150,466,15,11,14,1846,2310
33036,110,15,11,14,1817,2310
38566,1697,18,13,10,1994,2340
17084,1496,18,10,13,2344,2340
13177,957,15,12,13,2182,2340
27946,664,15,12,13,1306,2340
10882,594,18,13,10,1422,2340
13213,436,15,13,12,1899,2340
39824,294,15,12,13,1353,2340
22049,251,15,12,13,652,2340
4678,1149,17,14,10,1343,2380
17896,1768,15,10,16,719,2400
1857,1076,15,10,16,1849,2400
32369,764,20,12,10,663,2400
18787,746,24,10,10,1929,2400
750,512,16,15,10,2123,2400
38427,377,15,10,16,1142,2400
26055,1651,22,11,10,1106,2420
26345,443,22,11,10,954,2420
11669,1041,17,11,13,1707,2431
12144,1020,19,13,10,1120,2470
10654,851,19,13,10,2276,2470
